,Lat,Lng,Income
210,40.5478429,-88.86469799999999,68784.0
211,39.8949055,-89.0179332,50839.0
212,38.9041402,-89.9253233,67440.0
213,40.7156396,-89.77553379999999,57247.0
214,41.39982089999999,-90.563609,58313.0
215,38.40081199999999,-89.9253233,57169.0
216,39.7337353,-89.62516459999999,61280.0
217,40.5522078,-89.4742177,65848.0
218,40.122469,-87.697554,43111.0
219,41.5054724,-88.0900762,90134.0
220,37.7183241,-88.86469799999999,58097.0
221,42.3121109,-89.1705998,59455.0
222,41.0932622,-85.02334599999999,56519.0
223,39.206801,-85.8895551,72555.0
224,40.0106163,-86.49965460000001,70813.0
225,38.4492903,-85.7256372,59064.0
226,40.2583533,-85.39627689999999,45065.0
227,41.6062253,-85.84862360000001,54531.0
228,38.2869276,-85.8895551,63219.0
229,40.4730605,-85.684578,47206.0
230,40.0372797,-86.05296039999999,105062.0
231,39.8249915,-85.84862360000001,69392.0
232,39.8064942,-86.5400674,85381.0
233,40.4482767,-86.1344697,53440.0
234,39.4637793,-86.1344697,73651.0
235,41.2864679,-85.84862360000001,64099.0
236,41.4897279,-87.30161319999999,57081.0
237,41.4775131,-86.8220341,56019.0
238,40.1469349,-85.684578,55142.0
239,39.83618999999999,-86.17517590000001,50458.0
240,39.1851445,-86.49965460000001,52453.0
241,39.51168089999999,-86.3376761,62862.0
242,41.5248577,-87.10237459999999,72483.0
243,41.6228085,-86.3376761,53456.0
244,40.34697310000001,-86.8220341,49352.0
245,38.0806099,-87.5791287,51350.0
246,39.4165382,-87.42075179999999,48013.0
247,39.831882,-84.981754,47944.0
248,42.447804,-92.38136209999999,60506.0
249,41.6120022,-93.9878427,94885.0
250,42.4694679,-90.8294002,62178.0
251,41.6698982,-91.5983959,66011.0
252,42.0659844,-91.67606909999999,63559.0
253,41.6278423,-93.5003454,66918.0
254,41.3911501,-95.4777811,60056.0
255,41.6393199,-90.6393702,65122.0
256,42.1040438,-93.5003454,63107.0
257,42.3166158,-95.9832577,58945.0
258,37.8649441,-96.83509989999999,61951.0
259,38.9107835,-95.26844369999999,64233.0
260,38.845412,-94.8520636,91771.0
261,39.1713075,-95.01824599999999,77070.0
262,39.3686475,-96.83509989999999,50920.0
263,37.6537367,-97.5247243,59716.0
264,39.0928449,-95.81428849999999,59441.0
265,39.0986811,-94.7691586,46964.0
266,38.9940572,-84.7315563,76443.0
267,37.9842107,-85.684578,65560.0
268,38.8951891,-84.3962535,66439.0
269,36.8410586,-87.460397,47445.0
270,37.7307984,-87.10237459999999,50964.0
271,38.06064780000001,-84.4802606,58356.0
272,37.6565708,-86.0121573,57463.0
273,38.1938097,-85.64348700000001,59049.0
274,38.9863872,-84.56414699999999,68849.0
275,37.03306070000001,-88.7108964,45084.0
276,37.7143001,-84.3121264,49421.0
277,38.3560025,-85.47880649999999,97968.0
278,36.9886043,-86.49965460000001,52645.0
279,30.2017295,-90.9438468,85425.0
280,32.7551322,-93.66232389999999,49962.0
281,32.6136798,-93.86553029999999,45537.0
282,30.2089286,-93.33889169999999,51246.0
283,30.5693593,-91.09693999999999,56451.0
284,29.4992629,-91.7538817,50991.0
285,29.6498691,-90.11206960000001,56069.0
286,30.1895142,-92.02731899999999,60567.0
287,29.6952295,-90.52578229999999,51339.0
